"CODISTAT","CODCATASTALE","DENOMINAZIONE_IT","IDPROVINCIA","IDREGIONE","IDPREFETTURA","DATASUBENTRO"
"022250","M390","SAN GIOVANNI DI FASSA-SÈN JAN","22","04","TN","15-11-2018"
"032004","D324","SAN DORLIGO DELLA VALLE-DOLINA","32","06","TS","11-12-2020"
"058092","H618","ROVIANO","58","12","RM","10-12-2018"
"040037","H542","RONCOFREDDO","40","08","FC","29-11-2018"
"058091","H501","ROMA","58","12","RM","01-02-2018"
"006146","H406","ROCCAFORTE LIGURE","6","01","AL","31-12-2018"
"034030","H384","ROCCABIANCA","34","08","PR","23-12-2015"
"040036","H437","ROCCA SAN CASCIANO","40","08","FC","23-05-2018"
"049021","M391","RIO","49","09","LI","15-11-2018"
"040033","H034","PREMILCUORE","40","08","FC","17-07-2018"
"022147","H018","PREDAZZO","22","04","TN","12-06-2016"
"040032","H017","PREDAPPIO","40","08","FC","18-07-2018"
"040031","G904","PORTICO E SAN BENEDETTO","40","08","FC","22-05-2018"
